,Total_No_Invoice_Generated,Total_No_of_Items,Total_Spend,Recency
1019,1,151,201.78,10
1020,4,1390,1006.8,10
1021,2,751,679.45,18
1022,2,672,1269.1,67
1023,2,300,534.24,74
1024,1,76,196.89,1
1025,7,1283,3408.06,14
1026,1,242,283.71,255
1027,1,204,296.64,91
1028,3,584,1129.14,23
1029,1,222,291.88,23
1030,6,1982,2043.72,26
1031,2,2,590.0,259
1032,2,134,356.98,165
1033,2,354,1058.34,24
1034,6,764,1751.72,17
1035,2,286,183.44,29
1036,3,1170,1445.0,38
1037,1,62,151.5,252
1038,1,403,674.68,58
1039,1,259,307.9,184
1040,2,580,1071.91,10
1041,2,100,165.0,99
1042,2,266,422.64,60
1043,1,129,226.84,236
1044,4,1012,1431.78,191
1045,2,417,1238.47,178
1046,6,1021,1454.58,37
1047,2,134,300.95,200
1048,5,1142,1804.56,45
1049,1,116,184.64,232
1050,1,160,140.34,65
1051,1,44,313.8,241
1052,1,277,454.24,233
1053,3,669,1122.41,78
1054,3,265,575.4,57
1055,4,560,449.52,105
1056,3,408,1269.84,136
1057,2,380,618.63,275
1058,1,162,316.26000000000005,311
1059,5,829,2044.87,7
1060,2,341,653.33,10
1061,2,163,348.05,282
1062,5,1365,1159.11,17
1063,3,609,1166.77,23
1064,1,560,1340.32,288
1065,3,264,292.0,16
1066,1,248,216.85,71
1067,1,178,295.93,64
1068,2,324,458.52,316
1069,4,1597,2479.16,3
1070,1,24,110.97,243
1071,7,1106,979.72,8
1072,4,1386,1791.56,1
1073,1,143,251.21,260
1074,1,109,205.1,126
1075,1,40,152.20000000000002,73
1076,4,681,891.12,72
1077,3,984,1374.41,21
1078,3,1369,2128.42,59
1079,1,382,627.16,85
1080,1,23,122.75,78
1081,1,44,125.8,30
1082,5,322,650.1800000000001,40
1083,2,394,628.78,14
1084,7,1683,2242.36,33
1085,2,74,307.76,78
1086,2,174,483.8,205
1087,1,129,210.31,33
1088,3,202,269.09,182
1089,7,175,1280.85,43
1090,3,320,631.34,85
1091,2,112,276.06,39
1092,3,357,621.09,12
1093,2,436,678.16,96
1094,7,458,918.2,25
1095,1,12,91.8,319
1096,2,546,584.06,28
1097,4,338,594.52,5
1098,1,63,171.42000000000002,7
1099,1,83,141.86,215
1100,3,757,1799.33,81
1101,2,209,777.53,84
1102,3,636,1724.67,144
1103,2,172,240.22,19
1104,2,567,856.84,40
1105,1,66,187.05,173
1106,2,156,338.62,17
1107,1,161,239.49,243
1108,1,534,1384.25,205
1109,2,302,290.25,50
1110,5,449,732.0699999999999,23
1111,4,791,1687.6,25
1112,2,176,467.04,14
1113,1,30,118.0,309
1114,1,725,781.03,155
1115,1,37,142.4,306
1116,1,180,712.4,63
1117,2,114,379.65,14
1118,6,1848,1981.92,11
1119,3,485,1117.13,64
1120,4,84,247.96,35
1121,5,719,2011.88,108
1122,1,359,396.97,52
1123,2,384,664.11,5
1124,1,52,160.04,47
1125,1,324,219.52,312
1126,2,548,693.32,45
1127,1,267,428.89,64
1128,1,164,164.34,26
1129,3,276,276.75,29
1130,1,288,675.51,40
1131,3,754,1154.4,89
1132,1,189,417.69,318
1133,3,300,544.18,40
1134,1,246,177.34,173
1135,1,343,213.85,116
1136,5,286,727.74,30
1137,1,209,257.23,252
1138,5,1269,1638.47,59
1139,7,1391,2031.78,5
1140,5,1031,2118.93,24
1141,5,700,1547.36,33
1142,1,677,1071.03,67
1143,5,592,949.12,36
1144,3,405,804.3,52
1145,1,93,122.64,15
1146,1,800,1033.34,74
1147,1,151,312.28,215
1148,3,273,519.44,31
1149,1,158,252.1,120
1150,4,887,1648.12,9
1151,2,139,346.6,256
1152,6,922,1836.34,16
1153,2,33,94.2,35
1154,3,578,1095.08,45
1155,2,605,932.97,114
1156,2,490,379.65,164
1157,2,208,367.14,10
1158,5,1019,2639.17,9
1159,2,882,1563.0,205
1160,3,533,881.26,85
1161,1,91,189.47,179
1162,3,41,84.65,60
1163,1,149,299.05,149
1164,2,237,218.55,50
1165,1,282,349.7,75
1166,2,57,186.39,301
1167,2,114,387.44,18
1168,2,330,486.8200000000001,151
1169,1,924,232.6,151
1170,4,360,827.83,17
1171,1,10,59.5,187
1172,1,38,65.13,285
1173,1,70,72.0,182
1174,1,512,910.0,63
1175,1,67,172.25,59
1176,3,1226,1488.32,24
1177,1,177,151.29999999999998,38
1178,1,66,308.58000000000004,155
1179,3,363,711.86,7
1180,1,189,330.79,302
1181,2,351,806.41,267
1182,1,301,285.33,271
1183,1,176,180.48,31
1184,2,140,252.06,218
1185,1,352,228.84,246
1186,5,562,1077.39,281
1187,1,138,138.28,269
1188,6,1959,1445.01,32
1189,2,173,306.55,246
1190,5,609,1041.68,15
1191,4,500,784.9,116
1192,1,316,524.14,36
1193,3,1401,2375.41,131
1194,1,43,199.85,217
1195,8,806,1980.56,49
1196,2,1054,1079.66,38
1197,2,162,333.48,28
1198,6,458,1016.14,36
1199,2,488,752.6,135
1200,2,278,610.59,219
1201,1,498,491.86,28
1202,4,1128,2883.54,24
1203,1,125,339.6,200
1204,1,54,216.9,18
1205,1,425,350.75,240
1206,3,218,668.4300000000001,71
1207,7,1776,1341.6,2
1208,2,1153,1080.52,95
1209,1,496,300.04,162
1210,5,439,948.25,95
1211,5,516,1647.26,53
1212,1,152,296.25,288
1213,6,873,1145.38,124
1214,1,512,741.26,287
1215,2,214,282.6,151
1216,7,1844,3190.55,11
1217,2,287,659.4100000000001,33
1218,2,197,286.79,54
1219,2,642,1070.65,50
1220,1,272,306.72,218
1221,1,728,1714.96,63
1222,4,1477,2634.45,64
1223,3,540,1122.63,33
1224,1,192,345.0,81
1225,1,70,178.7,103
1226,2,318,360.01,7
1227,1,30,127.84,250
1228,6,369,908.86,12
1229,1,136,230.4,367
1230,2,337,309.04,75
1231,1,748,348.8,4
1232,2,1200,1516.0,127
1233,2,92,195.55,66
1234,2,402,688.86,116
1235,1,331,558.32,309
1236,1,168,324.8,66
1237,1,121,277.07,255
1238,7,1462,2588.39,30
1239,2,1900,924.6,52
1240,1,56,256.38,63
1241,1,36,112.6,367
1242,5,782,1747.66,5
1243,1,29,155.05,305
1244,3,312,1499.01,28
1245,3,68,814.5,183
1246,3,333,539.0,42
1247,4,552,1366.86,39
1248,2,864,1579.12,92
1249,2,269,571.6700000000001,23
1250,2,211,382.98,29
1251,3,1109,1140.35,301
1252,2,153,385.64,144
1253,2,611,632.0,5
1254,2,439,957.66,18
1255,5,768,1698.94,32
1256,1,82,189.5,176
1257,3,138,409.8,57
1258,1,311,209.49,22
1259,6,743,2198.45,16
1260,1,28,52.2,19
1261,1,117,383.85,159
1262,4,442,834.57,25
1263,2,182,266.59000000000003,211
1264,4,254,674.82,5
1265,1,196,361.62,11
1266,1,182,312.98,64
1267,3,388,865.0600000000001,24
1268,2,1016,1537.95,51
1269,1,944,1595.48,129
1270,3,1705,2651.46,95
1271,1,312,1090.14,57
1272,3,494,388.5,168
1273,1,75,216.17,57
1274,1,129,201.16,326
1275,5,591,1245.9,1
1276,8,1688,2209.36,18
1277,1,224,305.78,247
1278,4,204,501.56,58
1279,1,57,145.67000000000002,74
1280,3,501,1005.09,31
1281,2,1964,3192.54,7
1282,8,1325,2770.94,2
1283,3,140,389.6,119
1284,1,180,540.45,358
1285,5,1316,1786.79,53
1286,1,36,122.7,63
1287,1,108,117.24,86
1288,1,463,1271.57,54
1289,5,953,1191.13,2
1290,5,1436,2674.48,10
1291,5,300,787.6,7
1292,2,182,506.8,189
1293,1,126,243.56,71
1294,1,147,349.55,204
1295,2,254,595.67,119
1296,1,146,416.9,92
1297,4,983,632.97,26
1298,1,190,821.1,297
1299,3,354,564.62,23
1300,4,1365,2593.07,28
1301,1,200,311.16,50
1302,1,133,155.93,325
1303,2,156,388.52,16
1304,3,430,740.95,183
1305,5,1739,2867.2,72
1306,2,332,332.64,37
1307,4,1478,2369.55,79
1308,2,380,626.45,11
1309,2,228,272.04,49
1310,2,1140,1212.84,49
1311,2,474,384.81,59
1312,1,93,172.25,351
1313,1,185,351.13,53
1314,6,1575,1838.85,1
1315,4,331,678.25,92
1316,1,104,223.85,23
1317,1,214,348.99,74
1318,4,129,464.57,10
1319,2,143,842.65,169
1320,2,274,337.34,57
1321,2,725,1237.53,95
1322,1,72,307.4,294
1323,2,205,608.7900000000001,109
1324,1,390,922.1,263
1325,1,330,376.58,179
1326,1,123,158.85,169
1327,1,70,71.66,35
1328,3,847,568.55,23
1329,4,516,839.14,17
1330,3,443,561.5699999999999,79
1331,1,44,90.6,65
1332,1,40,102.0,360
1333,4,322,730.06,11
1334,3,459,674.45,176
1335,2,1431,3251.071,217
1336,2,150,439.92,1
1337,2,154,322.96,154
1338,5,486,1019.27,5
1339,3,355,594.04,79
1340,2,142,230.22,21
1341,2,87,169.55,21
1342,4,460,664.54,308
1343,1,42,80.7,145
1344,8,1844,2758.26,18
1345,2,187,190.25,70
1346,1,109,264.7,287
1347,1,249,413.59,49
1348,1,154,357.98,206
1349,2,315,196.79,14
1350,1,639,869.87,73
1351,1,172,200.14,60
1352,4,1136,1871.81,39
1353,5,679,920.51,26
1354,1,430,320.46,17
1355,2,1313,1266.08,65
1356,1,190,311.3,213
1357,6,995,852.88,12
1358,1,64,76.8,30
1359,6,932,2274.14,3
1360,5,879,1393.69,15
1361,1,710,635.66,211
1362,3,962,2043.08,45
1363,2,877,529.73,134
1364,3,641,962.19,115
1365,2,365,695.61,198
1366,1,160,328.8,277
1367,3,462,473.02,110
1368,1,1076,505.18,77
1369,1,378,917.34,52
1370,3,1037,1421.61,46
1371,2,441,642.8,16
1372,3,192,631.9,155
1373,1,487,440.0,225
1374,2,345,584.07,7
1375,2,150,327.7,121
1376,1,62,104.82,60
1377,2,198,467.66,63
1378,3,420,648.89,22
1379,5,738,1413.02,28
1380,1,268,626.65,284
1381,2,46,147.20000000000002,176
1382,3,965,1560.38,78
1383,1,92,152.2,33
1384,1,94,141.41,266
1385,4,535,1659.75,109
1386,1,460,154.99,284
1387,5,381,1308.61,8
1388,1,288,409.93,305
1389,2,689,746.36,31
1390,1,89,225.36,19
1391,2,215,260.25,124
1392,1,62,92.46,65
1393,1,216,725.6400000000001,106
1394,1,128,183.6,266
1395,5,1772,1334.34,29
1396,1,45,152.55,266
1397,2,361,374.7,63
1398,1,73,265.85,320
1399,1,130,151.04,32
1400,3,754,942.26,4
1401,1,79,118.67,129
1402,5,268,499.42,40
1403,6,310,1049.37,101
1404,1,301,375.1,124
1405,1,48,45.6,32
1406,2,592,921.62,302
1407,1,110,182.25,364
1408,1,250,191.47,2
1409,1,133,158.75,56
1410,1,391,433.86,12
1411,1,104,147.35,36
1412,1,63,191.95,137
1413,5,769,1105.88,5
1414,2,72,216.21,154
1415,1,800,1266.23,239
1416,7,1793,2703.23,51
1417,2,381,597.91,30
1418,1,88,144.2,72
1419,4,457,677.85,14
1420,7,1651,2915.15,22
1421,4,745,1840.42,3
1422,2,101,386.53,273
1423,5,707,1382.74,19
1424,1,72,90.0,143
1425,1,1618,419.58,84
1426,3,1628,2720.63,10
1427,3,507,691.1300000000001,7
1428,3,321,709.71,122
1429,2,564,637.5,60
1430,5,592,1123.86,1
1431,1,257,480.91,319
1432,3,348,605.64,129
1433,2,600,965.88,1
1434,1,510,415.82,46
1435,2,811,935.05,3
1436,4,355,915.13,2
1437,1,313,311.81,373
1438,1,30,115.8,133
1439,2,108,483.4,78
1440,1,16,157.2,233
1441,1,218,446.62,220
1442,2,496,658.64,35
1443,2,711,621.29,75
1444,2,465,1345.62,239
1445,1,25,118.75,266
1446,2,271,424.89,19
1447,1,781,507.66,40
1448,3,450,1097.62,215
1449,2,142,289.36,173
1450,4,893,2445.91,87
1451,2,1033,1631.77,70
1452,1,53,120.44,275
1453,4,147,562.59,39
1454,1,167,363.79,98
1455,4,150,450.84,10
1456,1,94,134.46,33
1457,3,1515,3222.3,59
1458,4,209,576.9000000000001,297
1459,4,204,549.46,86
1460,2,319,701.57,40
1461,1,127,452.89,66
1462,1,6,197.65,331
1463,6,1162,2054.36,30
1464,2,445,853.39,67
1465,2,760,1012.0,201
1466,1,142,335.52,106
1467,4,290,701.4,18
1468,1,28,185.4,218
1469,7,590,747.44,60
1470,1,72,150.61,2
1471,2,204,466.7,16
1472,1,276,328.16,239
1473,1,114,151.74,94
1474,6,691,2073.43,10
1475,6,760,1905.84,105
1476,1,1152,1070.48,89
1477,5,751,1004.38,30
1478,6,1358,1789.72,11
1479,4,593,1824.3,3
1480,1,160,169.48000000000002,42
1481,1,78,89.94,4
1482,2,272,632.4,247
1483,1,607,683.17,177
1484,3,585,991.13,92
1485,4,483,1009.73,110
1486,5,1296,2214.79,28
1487,3,610,1547.2,51
1488,3,409,925.71,183
1489,5,1941,2048.07,42
1490,4,680,1462.72,49
1491,4,951,754.12,22
1492,5,1959,3144.86,75
1493,2,310,490.86,80
1494,1,38,161.0,373
1495,1,111,146.85,326
1496,2,418,890.34,30
1497,1,146,213.7,183
1498,2,123,280.55,234
1499,2,976,1693.45,219
1500,3,804,1474.06,110
1501,1,47,136.76999999999998,278
1502,1,102,302.58,318
1503,3,1200,1904.05,7
1504,5,1674,2879.7000000000003,1
1505,2,414,969.06,260
1506,5,1682,3099.7200000000003,64
1507,1,68,120.0,141
1508,2,406,1163.45,50
1509,8,1645,2618.23,8
1510,2,70,333.97,154
1511,2,330,530.18,109
1512,3,530,1516.24,162
1513,1,197,492.65,331
1514,1,88,112.32,225
1515,2,599,437.96,73
1516,4,264,559.97,51
1517,3,744,1119.74,98
1518,1,52,134.04,196
1519,2,161,595.25,30
1520,4,541,1910.01,21
1521,3,261,176.63,8
1522,1,188,426.6,213
1523,6,292,911.26,8
1524,5,915,2314.65,11
1525,4,709,1046.56,3
1526,1,84,166.20000000000002,40
1527,4,865,1305.33,17
1528,1,32,43.2,18
1529,1,606,640.14,117
1530,1,139,383.45,222
1531,3,1088,1843.96,71
1532,2,1075,2093.32,51
1533,6,2058,2995.72,88
1534,1,146,310.26,242
1535,6,1012,1611.59,46
1536,1,296,120.0,106
1537,6,1021,2481.13,44
1538,1,255,508.58,64
1539,2,325,477.79,206
1540,2,350,605.0600000000001,114
1541,1,103,183.85,242
1542,1,139,311.65,163
1543,2,252,462.66,124
1544,3,463,840.21,22
1545,1,58,415.2,67
1546,8,1731,2552.21,16
1547,2,375,454.86,16
1548,4,1759,1614.91,16
1549,2,335,588.22,161
1550,1,168,309.52,242
1551,1,58,134.7,218
1552,8,1397,2166.98,45
1553,4,347,668.5600000000001,21
1554,8,477,889.9300000000001,127
1555,1,50,108.98,38
1556,2,605,1021.58,120
1557,1,183,409.57,260
1558,1,86,133.5,10
1559,1,183,282.93,274
1560,4,538,1078.96,157
1561,1,64,90.6,215
1562,2,210,163.62,5
1563,1,92,174.4,365
1564,2,277,701.23,79
1565,1,147,225.12,43
1566,3,371,912.18,19
1567,4,1139,2118.03,31
1568,1,96,151.5,22
1569,1,36,155.0,319
1570,1,34,100.5,295
1571,1,17,76.55,358
1572,1,184,235.56,185
1573,2,219,617.05,191
1574,2,292,348.1,44
1575,1,146,202.68,52
1576,1,1231,615.49,26
1577,3,817,1247.69,38
1578,3,159,202.11,9
1579,1,54,142.4,296
1580,3,795,1727.6,32
1581,8,1941,3212.84,10
1582,2,729,1043.46,65
1583,1,13,67.95,218
1584,2,225,487.99,65
1585,1,454,574.7,149
1586,4,519,1475.81,130
1587,6,827,1449.32,33
1588,1,77,156.75,119
1589,6,1415,2157.73,107
1590,7,1610,2599.03,10
1591,6,1230,2059.4500000000003,71
1592,1,196,1063.0,310
1593,2,786,770.03,42
1594,1,67,121.05,362
1595,2,326,490.22,22
1596,3,1711,1937.25,3
1597,6,483,1051.79,10
1598,1,334,387.52,99
1599,2,365,813.11,57
1600,1,120,265.2,218
1601,2,228,363.34,50
1602,5,428,1224.06,7
1603,1,130,470.36,302
1604,6,368,1372.8,21
1605,1,129,89.06,98
1606,1,60,63.0,365
1607,1,82,131.9,306
1608,1,526,2661.24,319
1609,5,588,2357.6800000000003,8
1610,4,446,1712.89,0
1611,2,482,1589.82,204
1612,4,938,1420.2,53
1613,5,571,1163.23,18
1614,2,104,375.35,9
1615,3,241,483.25,180
1616,2,378,643.9,60
1617,2,116,259.05,10
1618,1,49,119.93,190
1619,1,88,113.64,310
1620,1,760,1837.92,155
1621,3,881,434.34,110
1622,3,178,514.62,98
1623,3,398,1038.44,246
1624,7,1006,2272.4,29
1625,4,276,596.26,17
1626,2,193,461.19,11
1627,8,1135,1852.67,103
1628,2,88,234.34000000000003,74
1629,1,140,547.66,46
1630,3,447,925.85,71
1631,1,110,193.0,257
1632,4,720,1309.6,19
1633,2,117,316.25,253
1634,1,143,279.05,11
1635,2,489,636.51,164
1636,6,1627,2022.81,18
1637,1,97,137.1,281
1638,1,210,321.92,50
1639,1,70,162.8,38
1640,6,712,1165.48,26
1641,1,799,1064.28,67
1642,1,299,463.38,207
1643,2,139,340.93,175
1644,5,1285,2383.24,7
1645,1,92,139.56,25
1646,2,62,123.8,50
1647,2,159,538.8100000000001,311
1648,1,235,475.37,309
1649,5,1098,1957.32,42
1650,3,496,808.44,26
1651,3,117,356.85,88
1652,2,161,251.21,183
1653,4,308,673.26,47
1654,6,594,1367.88,23
1655,2,129,268.05,22
1656,5,784,1314.81,11
1657,2,122,275.28,187
1658,3,361,455.59,100
1659,3,564,990.2,61
1660,6,1110,2076.89,17
1661,2,91,330.45,33
1662,1,278,174.37,64
1663,2,146,270.6,1
1664,4,525,974.54,24
1665,1,251,241.09,108
1666,1,278,364.22,37
1667,6,1395,2862.11,25
1668,4,284,932.85,236
1669,1,39,170.95,259
1670,1,120,355.56,57
1671,2,155,388.25,64
1672,2,428,537.48,15
1673,3,411,952.66,9
1674,8,641,1453.35,58
1675,1,19,103.25,185
1676,2,1536,2004.3,24
1677,2,256,652.8,150
1678,1,136,289.24,311
1679,2,389,757.37,10
1680,2,106,186.23,18
1681,1,90,164.22,151
1682,5,493,859.27,19
1683,4,1443,2279.49,10
1684,2,122,312.54,57
1685,1,510,788.38,85
1686,3,1014,1080.76,75
1687,4,1540,3099.12,95
1688,1,800,1432.0,110
1689,2,412,1530.36,56
1690,1,79,227.39,1
1691,2,95,218.06,280
1692,4,353,859.71,12
1693,1,240,168.63,3
1694,1,217,138.6,16
1695,1,73,114.11,40
1696,4,381,1033.06,169
1697,1,91,157.05,50
1698,1,444,237.36,276
1699,1,5,39.75,371
1700,4,1228,1320.21,15
1701,3,407,557.94,35
1702,3,330,617.15,21
1703,2,183,363.33,7
1704,6,978,1740.6,19
1705,2,566,866.24,11
1706,1,189,221.97,44
1707,1,125,393.33,305
1708,1,168,213.96,10
1709,1,400,660.0,274
1710,4,437,1785.15,4
1711,3,104,406.08,242
1712,3,262,523.44,9
1713,1,152,394.44,245
1714,2,214,412.78,205
1715,5,993,1788.36,1
1716,1,146,320.58000000000004,184
1717,5,418,886.7,32
1718,2,162,225.85,57
1719,2,335,899.63,196
1720,4,1403,2791.27,23
1721,2,272,671.96,91
1722,2,378,955.26,4
1723,3,622,1006.98,50
1724,1,96,114.56,262
1725,1,96,344.90000000000003,266
1726,2,241,609.85,36
1727,1,166,443.6,50
1728,6,1431,2984.49,52
1729,6,880,2107.38,24
1730,1,90,110.46,21
1731,1,76,96.12,58
1732,2,815,693.8100000000001,170
1733,2,258,830.76,67
1734,2,381,597.09,156
1735,1,91,236.04,201
1736,4,1004,1402.59,4
1737,2,343,653.75,67
1738,1,53,114.18,77
1739,7,945,1926.65,1
1740,4,1089,1932.23,8
1741,2,120,291.05,169
1742,4,466,848.22,17
1743,2,47,247.15,5
1744,2,228,285.74,86
1745,1,35,107.95,26
1746,4,578,741.37,28
1747,2,465,636.24,19
1748,5,740,1835.7,60
1749,1,161,195.25,24
1750,3,770,1259.24,241
1751,2,326,392.86,280
1752,2,454,765.55,234
1753,5,1004,1736.4,3
1754,1,336,596.36,16
1755,3,76,498.95,71
1756,2,80,52.0,187
1757,1,470,628.38,106
1758,1,76,112.8,208
1759,2,167,355.05,44
1760,5,707,2114.33,30
1761,4,265,591.55,137
1762,1,34,172.9,264
1763,7,1630,2078.95,4
1764,2,181,188.61,218
1765,5,602,1217.27,1
1766,1,77,109.13,214
1767,3,1314,2195.1,32
1768,1,183,318.17,14
1769,3,621,1126.37,2
1770,4,375,599.48,14
1771,3,315,917.07,29
1772,1,229,160.19,24
1773,4,521,867.38,24
1774,2,495,307.51,43
1775,3,219,663.81,5
1776,1,118,180.42,147
1777,1,588,655.58,24
1778,1,62,268.58,274
1779,1,197,313.49,373
1780,3,256,380.02,47
1781,8,1405,2702.49,8
1782,3,345,1164.55,3
1783,7,601,1314.45,42
1784,3,735,1448.21,197
1785,6,841,1400.34,11
1786,7,626,1084.98,16
1787,5,1038,1220.26,112
1788,1,84,328.2,249
1789,5,1223,1415.75,29
1790,1,260,389.64,43
1791,1,211,563.15,87
1792,2,486,638.05,44
1793,1,416,738.96,15
1794,1,160,420.5,75
1795,4,419,1484.06,144
1796,3,569,1625.97,4
1797,1,40,89.2,297
1798,2,118,255.9,58
1799,1,341,300.52,263
1800,1,190,278.3,46
1801,3,135,254.11,29
1802,6,1349,2473.37,8
1803,2,52,192.6,17
1804,2,490,876.42,232
1805,1,82,139.26,112
1806,3,1174,1011.9,58
1807,2,306,730.86,127
1808,3,84,386.15,280
1809,2,310,447.68,54
1810,1,114,200.1,319
1811,2,237,289.99,26
1812,2,84,77.4,10
1813,2,421,679.4399999999999,7
1814,1,116,197.64,28
1815,4,699,745.06,16
1816,1,2,6.2,63
1817,1,91,228.99,21
1818,7,673,1319.91,2
1819,1,17,131.45000000000002,166
1820,3,150,173.74,52
1821,1,146,157.7,51
1822,1,173,189.34,61
1823,3,370,845.55,162
1824,1,121,353.27,8
1825,4,114,546.4,15
1826,1,330,193.39,75
1827,2,66,152.88,369
1828,2,744,778.5,36
1829,1,5,271.85,197
1830,2,655,1110.34,200
1831,3,324,657.8,73
1832,2,109,272.07,64
1833,4,253,507.29,21
1834,1,20,48.8,366
1835,3,88,321.43,180
1836,4,525,1127.71,10
1837,4,452,697.55,29
1838,1,164,188.88,53
1839,6,734,1720.3,17
1840,2,43,99.45,10
1841,4,1436,1649.5,89
1842,1,31,62.85,267
1843,6,1778,3295.76,53
1844,4,1166,2824.69,43
1845,4,1833,3189.81,63
1846,1,120,309.4,148
1847,1,293,325.75,311
1848,2,325,511.35,23
1849,6,1747,2836.69,58
1850,2,82,475.8,24
1851,7,1820,2740.03,78
1852,2,267,645.65,119
1853,3,711,1290.53,36
1854,2,464,1173.12,59
1855,4,671,1353.74,12
1856,1,232,170.32,19
1857,1,117,125.79,52
1858,2,772,841.1999999999999,25
1859,1,132,266.76,29
1860,2,108,52.2,7
1861,3,328,710.28,185
1862,8,1405,2953.59,3
1863,2,549,721.45,8
1864,1,119,327.25,261
1865,4,179,501.28,3
1866,1,168,519.68,210
1867,2,558,1465.3200000000002,107
1868,3,364,675.59,77
1869,1,316,255.4,19
1870,2,158,589.7,26
1871,6,790,761.59,18
1872,1,724,765.3199999999999,131
1873,1,160,364.8,252
1874,1,1100,1862.0,79
1875,1,184,369.2,207
1876,1,90,135.9,336
1877,1,51,125.65,253
1878,2,505,554.38,148
1879,2,799,1237.85,9
1880,1,265,655.75,85
1881,2,279,468.77,204
1882,4,468,1366.38,7
1883,6,1001,1269.31,23
1884,1,218,332.66,25
1885,2,1985,1025.44,2
1886,2,287,616.15,157
1887,1,132,277.8,74
1888,4,238,434.35,2
1889,2,971,867.85,16
1890,4,1743,1227.43,35
1891,2,112,307.48,91
1892,4,1136,1268.98,70
1893,2,675,1610.15,115
1894,2,509,977.77,212
1895,2,953,1316.07,30
1896,1,418,749.1,50
1897,1,64,310.05,245
1898,1,136,223.88,32
1899,3,1160,2362.96,108
1900,5,417,1257.68,4
1901,1,80,363.53,365
1902,2,1042,1890.94,81
1903,1,935,1784.71,297
1904,3,484,1621.88,56
1905,1,22,100.9,14
1906,2,178,275.82,72
1907,6,673,1101.97,23
1908,1,136,371.2,19
1909,1,311,311.69,79
1910,1,224,285.67,25
1911,1,117,294.85,12
1912,1,34,58.49,253
1913,3,128,483.73,147
1914,4,494,695.42,64
1915,2,221,221.27,8
1916,1,44,126.7,270
1917,5,1159,1472.34,9
1918,1,143,206.21,247
1919,2,363,596.09,96
1920,1,179,183.02,14
1921,1,140,463.8,49
1922,1,127,147.59,30
1923,4,250,1592.06,68
1924,3,639,1097.98,35
1925,1,28,114.77,128
1926,3,369,1314.45,107
1927,1,37,89.94,37
1928,1,380,279.94,57
1929,7,234,790.86,57
1930,5,523,1921.37,72
1931,1,97,102.12,246
1932,2,58,202.37,19
1933,2,256,292.01,198
1934,2,128,326.4,15
1935,1,141,334.54,211
1936,2,102,231.98,38
1937,3,1120,546.1999999999999,46
1938,2,258,414.87,170
1939,1,218,490.52,47
1940,4,862,1641.76,115
1941,1,623,1220.77,147
1942,1,286,480.38,51
1943,1,69,156.91,159
1944,3,639,1259.43,12
1945,1,184,308.94,35
1946,2,225,405.04,53
1947,2,149,257.67,43
1948,1,76,170.04,172
1949,1,63,125.58,33
1950,3,189,496.21,38
1951,1,150,252.81,266
1952,4,527,852.39,11
1953,1,184,361.96,33
1954,3,285,469.0,80
1955,4,565,1066.15,30
1956,4,459,627.13,8
1957,2,372,518.28,71
1958,4,400,653.19,4
1959,1,245,252.73,89
1960,3,316,429.56,72
1961,6,212,685.74,58
1962,1,103,179.93,170
1963,1,30,135.93,199
1964,1,300,537.0,31
1965,2,114,735.66,151
1966,1,222,343.62,269
1967,4,192,381.0,65
1968,1,63,121.17000000000002,273
1969,3,1216,1737.69,25
1970,3,1010,1383.36,23
1971,1,79,207.73,319
1972,3,984,693.95,4
1973,2,198,302.1,12
1974,2,668,1489.5,275
1975,4,257,294.25,8
1976,4,763,987.86,71
1977,1,56,370.8,213
1978,4,1383,3158.13,37
1979,1,317,893.59,53
